City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date
punta arenas,-53.15,-70.92,12.0,46,0,7.2,CL,1603392831
bluff,-46.6,168.33,10.0,90,100,0.89,NZ,1603392832
saint-joseph,-21.37,55.62,23.0,78,0,5.1,RE,1603392834
castro,-24.79,-50.01,24.57,50,2,3.87,BR,1603392835
ushuaia,-54.8,-68.3,9.0,57,40,10.3,AR,1603392838
port alfred,-33.59,26.89,19.83,89,0,6.57,ZA,1603392850
avarua,-21.21,-159.78,24.0,94,100,3.1,CK,1603392855
carutapera,-1.2,-46.02,27.06,83,93,2.78,BR,1603392788
port elizabeth,-33.92,25.57,20.0,94,20,5.1,ZA,1603392819
touros,-5.2,-35.46,28.0,74,75,4.6,BR,1603392876
lebu,-37.62,-73.65,12.25,72,97,5.87,CL,1603392879
dois vizinhos,-25.73,-53.06,31.41,32,18,2.27,BR,1603392880
constitucion,-35.33,-72.42,16.0,61,7,6.07,CL,1603392885
viedma,-40.81,-63.0,22.85,41,24,5.01,AR,1603392897
morondava,-20.28,44.28,23.84,82,0,2.8,MG,1603392900
chuy,-33.7,-53.46,16.49,81,100,6.98,UY,1603392906
rio grande,-32.03,-52.1,18.89,86,100,2.68,BR,1603392784
arraial do cabo,-22.97,-42.03,25.0,61,40,6.2,BR,1603392910
pisco,-13.7,-76.22,22.0,60,0,8.7,PE,1603392911
willowmore,-33.29,23.49,22.75,36,0,5.91,ZA,1603392913
saint-philippe,-21.36,55.77,23.0,78,0,5.1,RE,1603392915
cap malheureux,-19.98,57.61,21.67,78,1,1.34,MU,1603392932
atuona,-9.8,-139.03,25.3,76,50,8.34,PF,1603392933
neiafu,-18.65,-173.98,24.0,88,75,2.6,TO,1603392934
kaeo,-35.1,173.78,15.56,96,91,0.89,NZ,1603392937
rikitea,-23.12,-134.97,23.37,78,100,6.31,PF,1603392940
boyolangu,-8.12,111.89,24.61,88,72,1.28,ID,1603392945
cape town,-33.93,18.42,17.78,87,0,8.7,ZA,1603392955
karratha,-20.74,116.85,18.94,63,42,5.28,AU,1603392961
middelburg,-25.78,29.46,20.8,49,87,5.84,ZA,1603392963
presidencia roque saenz pena,-26.79,-60.44,37.78,32,100,1.34,AR,1603392965
new norfolk,-42.78,147.06,9.44,84,19,1.22,AU,1603392968
mataura,-46.19,168.86,10.0,90,100,0.89,NZ,1603392971
atambua,-9.11,124.89,23.79,82,74,0.38,ID,1603392978
saint-leu,-21.15,55.28,23.0,78,0,5.1,RE,1603392979
araxa,-19.59,-46.94,25.02,67,100,2.19,BR,1603392978
busselton,-33.65,115.33,11.11,61,0,4.9,AU,1603392985
hobart,-42.88,147.33,10.0,87,5,1.94,AU,1603392924
bredasdorp,-34.53,20.04,18.0,82,33,3.6,ZA,1603392989
hithadhoo,-0.6,73.08,28.43,74,27,7.13,MV,1603392991
ulladulla,-35.35,150.47,14.0,100,40,1.69,AU,1603392993
mar del plata,-38.0,-57.56,13.33,93,90,7.2,AR,1603393000
santa ines,-3.67,-45.38,33.29,48,86,2.16,BR,1603393002
hermanus,-34.42,19.23,17.22,84,40,1.79,ZA,1603393003
saldanha,-33.01,17.94,17.0,72,59,5.1,ZA,1603393005
ahipara,-35.17,173.17,15.71,91,82,2.97,NZ,1603393027
lorengau,-2.02,147.27,27.24,75,3,3.26,PG,1603393031
porto walter,-8.27,-72.74,33.0,46,41,1.73,BR,1603392743
vaini,-21.2,-175.2,24.0,88,75,3.1,TO,1603393033
faanui,-16.48,-151.75,26.03,75,0,4.44,PF,1603393036
puerto ayora,-0.74,-90.35,25.0,78,40,9.3,EC,1603392864
bengkulu,-3.8,102.27,24.81,78,100,1.32,ID,1603393039
